Station Name,lat,lon
beberibe,"04° 08' 58"" S","38° 06' 51"" W"
aracati,"04° 29' 22"" S","37° 43' 22"" W"
icapui,"04° 40' 59"" S","37° 20' 50"" W"
tibau,"04° 49' 33"" S","37° 14' 52"" W"
areia-branca,"04° 55' 17"" S","37° 05' 15"" W"
pe-da-serra,"04° 56' 53"" S","36° 53' 06"" W"
macau,"05° 06' 21"" S","36° 39' 04"" W"
guamare,"05° 06' 18"" S","36° 19' 06"" W"
touros,"05° 11' 53"" S","35° 27' 24"" W"
natal,"05° 45' 18"" S","35° 11' 43"" W"
canguaretama,"06° 19' 33"" S","35° 01' 30"" W"
bahia-da-traicao,"06° 40' 55"" S","34° 55' 58"" W"
campina,"06° 49' 03"" S","34° 54' 35"" W"
cabedelo,"06° 58' 00"" S","34° 49' 60"" W"
joao-pessoa,"07° 06' 50"" S","34° 49' 15"" W"
jacum,"07° 16' 38"" S","34° 48' 01"" W"
pitimbu,"07° 28' 35"" S","34° 47' 58"" W"
ponta-de-pedras,"07° 37' 40"" S","34° 48' 14"" W"
itamaraca,"07° 45' 10"" S","34° 49' 16"" W"
olinda,"08° 00' 29"" S","34° 50' 15"" W"
recife,"08° 02' 54"" S","34° 51' 36"" W"
jaboatao-dos-guararapes,"08° 11' 59"" S","34° 54' 49"" W"
suape,"08° 23' 54"" S","34° 57' 36"" W"
porto-de-galinhas,"08° 30' 15"" S","35° 00' 04"" W"
barreiros,"08° 48' 25"" S","35° 06' 39"" W"
barra-de-santo-antonio,"09° 26' 09"" S","35° 29' 09"" W"
maceio,"09° 40' 29"" S","35° 44' 02"" W"
coruripe,"10° 11' 23"" S","36° 10' 11"" W"
porto-das-cabras,"10° 49' 60"" S","36° 55' 42"" W"
aracaju,"10° 55' 12"" S","37° 02' 48"" W"
mangue-secco,"11° 27' 12"" S","37° 20' 48"" W"
conde,"11° 48' 52"" S","37° 33' 24"" W"
porto-de-sauipe,"12° 22' 27"" S","37° 52' 07"" W"
lauro-de-freitas,"12° 53' 07"" S","38° 16' 21"" W"
salvador,"12° 57' 60"" S","38° 31' 00"" W"
aratu,"12° 46' 60"" S","38° 30' 00"" W"
madre-de-deus,"12° 44' 39"" S","38° 37' 31"" W"
itaparica,"12° 53' 27"" S","38° 39' 60"" W"
morro-de-sao-paulo,"13° 20' 60"" S","38° 53' 60"" W"
camamu,"13° 55' 17"" S","39° 02' 27"" W"
itacare,"14° 15' 01"" S","38° 58' 55"" W"
ilheus,"14° 48' 00"" S","39° 01' 60"" W"
una,"15° 13' 54"" S","38° 59' 36"" W"
canavieiras,"15° 39' 60"" S","38° 55' 60"" W"
belmonte,"15° 51' 23"" S","38° 52' 30"" W"
santa-cruz-cabralia,"16° 16' 60"" S","39° 01' 60"" W"
porto-seguro,"16° 27' 14"" S","39° 03' 08"" W"
cumuruxatiba,"17° 05' 53"" S","39° 11' 25"" W"
caravelas,"17° 42' 60"" S","39° 08' 60"" W"
mucuri,"18° 05' 27"" S","39° 32' 47"" W"
so-mateus,"18° 42' 26"" S","39° 44' 28"" W"
barra-do-riacho,"19° 50' 18"" S","40° 03' 24"" W"
tubarao,"20° 17' 47"" S","40° 14' 54"" W"
vitoria,"20° 19' 25"" S","40° 17' 57"" W"
vila-velha,"20° 21' 30"" S","40° 17' 19"" W"
guarapari,"20° 39' 46"" S","40° 29' 06"" W"
ponta-do-ubu,"20° 47' 12"" S","40° 34' 12"" W"
marataizes,"21° 02' 50"" S","40° 49' 12"" W"
so-francisco-de-itabapoana,"21° 28' 51"" S","41° 03' 30"" W"
campos-dos-goytacazes,"21° 50' 33"" S","40° 59' 03"" W"
macae,"22° 22' 60"" S","41° 46' 00"" W"
armacao-dos-buzios,"22° 45' 00"" S","41° 52' 60"" W"
cabo-frio,"22° 58' 35"" S","41° 59' 19"" W"
araruama,"22° 57' 54"" S","42° 20' 19"" W"
marica,"22° 59' 25"" S","42° 48' 55"" W"
niteroi,"22° 56' 32"" S","43° 06' 18"" W"
sao-gonzalo,"22° 49' 28"" S","43° 04' 44"" W"
mage,"22° 41' 29"" S","43° 04' 18"" W"
duque-de-caxias,"22° 47' 36"" S","43° 16' 05"" W"
rio-de-janeiro,"22° 53' 34"" S","43° 12' 15"" W"
itaguai,"22° 56' 18"" S","43° 50' 50"" W"
ilha-guaiba,"22° 59' 41"" S","44° 01' 48"" W"
angra-dos-reis,"23° 00' 60"" S","44° 19' 00"" W"
sao-sebastiao,"23° 48' 60"" S","45° 23' 60"" W"
santos,"23° 58' 39"" S","46° 19' 48"" W"
cananeia,"25° 00' 60"" S","47° 55' 60"" W"
ponta-do-felix,"25° 27' 18"" S","48° 40' 42"" W"
paranagua,"25° 30' 60"" S","48° 27' 00"" W"
canal-de-galheta,"25° 34' 29"" S","48° 19' 48"" W"
baia-paranagua,"25° 31' 04"" S","48° 17' 47"" W"
joinville,"26° 17' 11"" S","48° 43' 18"" W"
itajai,"26° 53' 60"" S","48° 38' 60"" W"
florianopolis,"27° 36' 00"" S","48° 34' 00"" W"
imbituba,"28° 13' 60"" S","48° 38' 60"" W"
laguna,"28° 30' 00"" S","48° 46' 60"" W"
porto-do-rio-grande,"32° 02' 55"" S","52° 04' 14"" W"
iquique,"20° 12' 58"" S","70° 09' 36"" W"
antofagasta,"23° 38' 37"" S","70° 24' 27"" W"
caldera,"27° 04' 20"" S","70° 51' 37"" W"
coquimbo,"29° 56' 03"" S","71° 20' 34"" W"
valparaiso,"33° 02' 05"" S","71° 37' 23"" W"
san-antonio,"33° 35' 17"" S","71° 37' 28"" W"
bahia-cumberland,"33° 37' 50"" S","78° 48' 23"" W"
pichilemu,"34° 23' 10"" S","72° 01' 23"" W"
constitucion,"35° 19' 06"" S","72° 25' 43"" W"
talcahuano,"36° 44' 10"" S","73° 09' 45"" W"
queule-temuco,"39° 22' 60"" S","73° 13' 48"" W"
puerto-montt,"41° 28' 37"" S","72° 56' 19"" W"
canal-de-chacao,"41° 48' 04"" S","73° 30' 09"" W"
ancud,"41° 50' 58"" S","73° 49' 23"" W"
aysen,"45° 24' 42"" S","72° 47' 52"" W"
puerto-chacabuco,"45° 28' 10"" S","72° 49' 11"" W"
punta-arenas,"53° 09' 52"" S","70° 53' 16"" W"
punta-delgada,"52° 30' 36"" S","69° 34' 58"" W"
bahia-orange,"55° 18' 36"" S","68° 02' 60"" W"
valdivia-bahia-de-corral,"39° 51' 13"" S","73° 25' 07"" W"
arica,"18° 28' 10"" S","70° 19' 29"" W"
puerto-lopez,"11° 54' 19"" N","71° 16' 39"" W"
puerto-ingles,"11° 58' 26"" N","71° 11' 13"" W"
punta-espada,"12° 05' 06"" N","71° 06' 44"" W"
chichibacoa,"12° 17' 06"" N","71° 12' 58"" W"
puerto-lodo,"12° 19' 03"" N","71° 14' 52"" W"
faro-punta-gallinas,"12° 27' 34"" N","71° 40' 07"" W"
bahia-hondita,"12° 24' 35"" N","71° 43' 59"" W"
bahia-honda,"12° 20' 10"" N","71° 46' 42"" W"
ruash,"12° 21' 32"" N","71° 51' 04"" W"
kayushiparalu,"12° 16' 23"" N","71° 56' 11"" W"
orosho,"12° 10' 25"" N","71° 58' 49"" W"
kashurop,"12° 13' 29"" N","72° 10' 06"" W"
el-cardon,"11° 55' 24"" N","72° 13' 19"" W"
manaure,"11° 46' 51"" N","72° 26' 46"" W"
arbol-del-descanso,"11° 41' 05"" N","72° 44' 57"" W"
riohacha,"11° 33' 00"" N","72° 55' 00"" W"
boca-de-camarones,"11° 26' 06"" N","73° 05' 16"" W"
punta-guamachito,"11° 24' 34"" N","73° 08' 33"" W"
la-punta-de-los-remedios,"11° 17' 45"" N","73° 15' 53"" W"
dibulla,"11° 16' 47"" N","73° 18' 41"" W"
palomino,"11° 15' 34"" N","73° 33' 46"" W"
buritaca,"11° 15' 50"" N","73° 46' 07"" W"
cabo-san-juan-del-guia,"11° 19' 48"" N","73° 57' 48"" W"
playa-cinto,"11° 19' 48"" N","74° 03' 26"" W"
neguanje,"11° 18' 59"" N","74° 04' 59"" W"
santa-marta,"11° 15' 18"" N","74° 13' 27"" W"
cienaga,"11° 01' 33"" N","74° 15' 15"" W"
barranquilla,"11° 03' 29"" N","74° 51' 11"" W"
puerto-colombia,"11° 00' 04"" N","74° 57' 38"" W"
santa-veronica,"10° 53' 07"" N","75° 04' 58"" W"
galerazamba,"10° 47' 56"" N","75° 15' 40"" W"
loma-de-arena,"10° 43' 54"" N","75° 16' 15"" W"
arroyo-de-piedra,"10° 37' 01"" N","75° 27' 21"" W"
punta-de-canoa,"10° 33' 54"" N","75° 31' 09"" W"
cartagena,"10° 24' 00"" N","75° 32' 60"" W"
boca-cerrada,"10° 03' 02"" N","75° 34' 40"" W"
sabaneta,"09° 53' 60"" N","75° 36' 12"" W"
rincon,"09° 46' 02"" N","75° 38' 46"" W"
berrugas,"09° 41' 25"" N","75° 37' 15"" W"
santiago-de-tolu,"09° 31' 45"" N","75° 35' 31"" W"
covenas,"09° 24' 40"" N","75° 40' 32"" W"
san-bernardo-del-viento,"09° 22' 38"" N","75° 58' 50"" W"
paso-nuevo,"09° 19' 46"" N","76° 05' 28"" W"
la-rada,"09° 17' 38"" N","76° 06' 34"" W"
monitos,"09° 14' 52"" N","76° 07' 55"" W"
santander-de-la-cruz,"09° 11' 21"" N","76° 10' 59"" W"
el-cedro,"09° 09' 10"" N","76° 10' 45"" W"
puerto-escondido,"09° 00' 33"" N","76° 16' 07"" W"
puerto-rey,"08° 53' 28"" N","76° 25' 03"" W"
arboletes,"08° 51' 12"" N","76° 25' 59"" W"
san-juan-de-uraba,"08° 46' 29"" N","76° 31' 41"" W"
damaquiel,"08° 44' 22"" N","76° 36' 37"" W"
necocli,"08° 25' 30"" N","76° 47' 34"" W"
turbo,"08° 05' 41"" N","76° 45' 15"" W"
providencia,"13° 22' 15"" N","81° 22' 30"" W"
san-andres,"12° 33' 53"" N","81° 41' 31"" W"
jurado,"07° 06' 03"" N","77° 45' 56"" W"
utria,"06° 00' 00"" N","77° 20' 60"" W"
bahia-octavia,"06° 52' 00"" N","77° 40' 00"" W"
chaquera,"06° 47' 22"" N","77° 34' 14"" W"
cupica,"06° 42' 01"" N","77° 28' 16"" W"
nabuga,"06° 24' 31"" N","77° 22' 53"" W"
bahia-solano,"06° 13' 60"" N","77° 24' 00"" W"
jurubida,"05° 50' 34"" N","77° 16' 56"" W"
tribuga,"05° 45' 39"" N","77° 16' 01"" W"
nuqui,"05° 42' 27"" N","77° 16' 31"" W"
pangui,"05° 39' 57"" N","77° 18' 21"" W"
arusi,"05° 36' 11"" N","77° 28' 34"" W"
cuevita,"05° 26' 27"" N","77° 24' 32"" W"
puerto-reyes,"05° 09' 10"" N","77° 23' 23"" W"
piliza,"05° 04' 57"" N","77° 22' 43"" W"
dotenedo,"04° 51' 53"" N","77° 21' 52"" W"
hijua,"04° 40' 53"" N","77° 19' 25"" W"
orpua,"04° 35' 04"" N","77° 19' 41"" W"
togoroma,"04° 22' 20"" N","77° 23' 10"" W"
charambira,"04° 16' 36"" N","77° 29' 02"" W"
juanchaco,"03° 55' 21"" N","77° 21' 27"" W"
buenaventura,"03° 52' 14"" N","77° 04' 46"" W"
punta-soldado,"03° 45' 49"" N","77° 10' 17"" W"
papayal,"03° 37' 11"" N","77° 11' 58"" W"
punta-bonita,"03° 34' 06"" N","77° 18' 16"" W"
el-aticito,"03° 18' 51"" N","77° 29' 14"" W"
san-fernando,"03° 12' 59"" N","77° 31' 43"" W"
candelaria,"03° 02' 57"" N","77° 39' 40"" W"
iguanero,"02° 54' 47"" N","77° 41' 31"" W"
cantil,"02° 42' 07"" N","77° 48' 24"" W"
guapi,"02° 41' 18"" N","77° 54' 17"" W"
bagrero,"02° 38' 58"" N","77° 57' 18"" W"
amarales,"02° 39' 57"" N","78° 15' 11"" W"
mosquera,"02° 32' 31"" N","78° 30' 16"" W"
salahonda,"02° 03' 08"" N","78° 40' 40"" W"
chagui,"01° 49' 29"" N","78° 34' 02"" W"
tumaco,"01° 49' 38"" N","78° 46' 38"" W"
san-lorenzo,"01° 15' 19"" N","78° 51' 42"" W"
valdez,"01° 15' 33"" N","79° 01' 44"" W"
las-penas,"01° 05' 53"" N","79° 10' 05"" W"
rioverde,"01° 04' 46"" N","79° 25' 02"" W"
esmeraldas,"01° 00' 19"" N","79° 39' 15"" W"
atacames,"00° 52' 34"" N","79° 51' 27"" W"
same,"00° 51' 18"" N","79° 55' 32"" W"
quingue,"00° 42' 57"" N","80° 06' 08"" W"
muisne,"00° 36' 15"" N","80° 02' 39"" W"
mompiche,"00° 30' 59"" N","80° 02' 19"" W"
chamanga,"00° 15' 48"" N","79° 57' 18"" W"
cojimies,"00° 22' 23"" N","80° 02' 34"" W"
pedernales,"00° 04' 26"" N","80° 04' 08"" W"
puerto-cabuyal,"00° 11' 03"" S","80° 20' 27"" W"
cabo-pasado,"00° 21' 46"" S","80° 29' 04"" W"
canoa,"00° 27' 16"" S","80° 30' 11"" W"
boca-de-briceno,"00° 31' 40"" S","80° 27' 28"" W"
bahia-de-caraquez,"00° 36' 12"" S","80° 25' 02"" W"
san-jacinto,"00° 46' 44"" S","80° 31' 37"" W"
crucita,"00° 51' 51"" S","80° 32' 37"" W"
manta,"00° 55' 41"" S","80° 44' 20"" W"
san-lorenzo,"01° 04' 25"" S","80° 55' 42"" W"
puerto-cayo,"01° 21' 00"" S","80° 45' 00"" W"
machalilla,"01° 28' 38"" S","80° 46' 40"" W"
puerto-lopez,"01° 32' 39"" S","80° 49' 57"" W"
salango,"01° 35' 58"" S","80° 51' 22"" W"
ayampe,"01° 40' 45"" S","80° 49' 33"" W"
la-rinconada,"01° 44' 07"" S","80° 47' 39"" W"
olon,"01° 47' 60"" S","80° 46' 10"" W"
montanita,"01° 49' 43"" S","80° 45' 46"" W"
ayangue,"01° 58' 17"" S","80° 45' 50"" W"
punta-blanca,"02° 09' 34"" S","80° 48' 39"" W"
la-libertad,"02° 13' 00"" S","80° 55' 00"" W"
anconcito,"02° 18' 58"" S","80° 54' 22"" W"
el-real,"02° 23' 46"" S","80° 43' 21"" W"
chanduy,"02° 24' 40"" S","80° 41' 20"" W"
engabao,"02° 34' 40"" S","80° 29' 60"" W"
gral-villamil,"02° 38' 36"" S","80° 23' 42"" W"
posorja,"02° 42' 51"" S","80° 14' 24"" W"
puna,"02° 44' 14"" S","79° 54' 19"" W"
guayaquil,"02° 11' 31"" S","79° 52' 09"" W"
machala,"03° 13' 37"" S","80° 00' 27"" W"
puerto-villamil,"00° 58' 38"" S","90° 57' 42"" W"
isla-baltra,"00° 25' 52"" S","90° 15' 19"" W"
santa-cruz,"00° 46' 58"" S","90° 20' 46"" W"
puerto-baquerizo-moreno,"00° 54' 21"" S","89° 38' 07"" W"
les-hattes,"05° 44' 50"" N","53° 56' 32"" W"
mana,"05° 40' 03"" N","53° 46' 31"" W"
organabo,"05° 33' 39"" N","53° 27' 35"" W"
iracoubo,"05° 30' 15"" N","53° 12' 55"" W"
trou-poissons,"05° 28' 22"" N","53° 04' 36"" W"
sinnamary,"05° 23' 49"" N","52° 57' 32"" W"
iles-du-salut,"05° 17' 05"" N","52° 35' 07"" W"
kourou,"05° 09' 55"" N","52° 37' 54"" W"
tonate,"05° 01' 11"" N","52° 27' 40"" W"
malmaison,"04° 59' 23"" N","52° 25' 57"" W"
farnous,"04° 57' 32"" N","52° 23' 47"" W"
cayenne,"04° 56' 39"" N","52° 19' 44"" W"
guisanbourg,"04° 25' 15"" N","51° 55' 49"" W"
ouanary,"04° 13' 40"" N","51° 39' 25"" W"
mabaruma,"08° 21' 21"" N","59° 48' 22"" W"
almond-beach,"08° 24' 22"" N","59° 46' 08"" W"
kumaka,"07° 48' 23"" N","58° 54' 52"" W"
caridad,"07° 25' 33"" N","58° 32' 45"" W"
anna-regina,"07° 15' 50"" N","58° 28' 08"" W"
suddie,"07° 06' 21"" N","58° 28' 29"" W"
wakenaam-island,"07° 15' 50"" N","58° 28' 08"" W"
parika,"06° 52' 03"" N","58° 25' 05"" W"
leonora,"06° 52' 37"" N","58° 16' 53"" W"
georgetown,"06° 48' 55"" N","58° 10' 08"" W"
success,"06° 49' 10"" N","58° 04' 19"" W"
lusignan,"06° 48' 12"" N","58° 02' 19"" W"
non-pariel,"06° 47' 18"" N","58° 00' 25"" W"
enmore,"06° 45' 40"" N","57° 58' 27"" W"
clonbrook,"06° 43' 05"" N","57° 55' 44"" W"
mahaica,"06° 42' 29"" N","57° 55' 12"" W"
mahaicony,"06° 35' 40"" N","57° 47' 41"" W"
belladrum,"06° 30' 45"" N","57° 41' 45"" W"
weldaad,"06° 29' 37"" N","57° 40' 39"" W"
bush-lot,"06° 24' 49"" N","57° 36' 01"" W"
fort-wellington,"06° 23' 45"" N","57° 35' 12"" W"
waterloo,"06° 21' 44"" N","57° 34' 16"" W"
rosignol,"06° 16' 54"" N","57° 32' 03"" W"
nueva-amsterdam,"06° 15' 50"" N","57° 31' 33"" W"
port-mourant,"06° 16' 05"" N","57° 20' 06"" W"
corriverton,"05° 56' 20"" N","57° 08' 18"" W"
tumbes,"03° 32' 44"" S","80° 32' 14"" W"
zorritos,"03° 40' 00"" S","80° 40' 00"" W"
cardalito,"03° 48' 23"" S","80° 49' 48"" W"
canoas,"03° 52' 54"" S","80° 51' 37"" W"
punta-sal,"03° 58' 47"" S","80° 58' 57"" W"
mancora,"04° 06' 03"" S","81° 03' 34"" W"
los-organos,"04° 10' 27"" S","81° 07' 54"" W"
nuro,"04° 12' 48"" S","81° 10' 41"" W"
cabo-blanco,"04° 15' 05"" S","81° 15' 46"" W"
lobitos,"04° 26' 16"" S","81° 17' 54"" W"
talara,"04° 34' 32"" S","81° 17' 49"" W"
paita,"05° 04' 29"" S","81° 06' 22"" W"
la-islilla,"05° 12' 49"" S","81° 12' 25"" W"
sechura,"05° 35' 06"" S","80° 53' 35"" W"
bayovar,"05° 48' 07"" S","81° 01' 35"" W"
cartagena,"06° 41' 39"" S","80° 06' 57"" W"
eten-chiclayo,"06° 57' 48"" S","79° 53' 41"" W"
isla-lobos-de-afuera,"07° 01' 37"" S","80° 41' 51"" W"
pacasmayo,"07° 24' 17"" S","79° 35' 17"" W"
puemape,"07° 31' 53"" S","79° 33' 43"" W"
puerto-malabrigo,"07° 42' 00"" S","79° 27' 49"" W"
santiago-de-cao,"07° 59' 04"" S","79° 16' 57"" W"
huanchaco-trujillo,"08° 06' 13"" S","79° 08' 12"" W"
salaverry,"08° 14' 17"" S","79° 00' 12"" W"
puerto-morin,"08° 24' 51"" S","78° 55' 43"" W"
chimbote,"09° 06' 59"" S","78° 36' 41"" W"
casma,"09° 28' 17"" S","78° 24' 54"" W"
playa-grande,"09° 48' 14"" S","78° 15' 47"" W"
huarmey,"10° 04' 25"" S","78° 11' 43"" W"
barranca,"10° 46' 32"" S","77° 48' 07"" W"
huacho,"11° 07' 39"" S","77° 38' 04"" W"
chancay,"11° 35' 17"" S","77° 18' 23"" W"
lima,"12° 19' 53"" S","76° 56' 36"" W"
cerro-azul,"13° 02' 17"" S","76° 30' 09"" W"
san-vicente-de-canete,"13° 08' 08"" S","76° 27' 31"" W"
callao,"12° 03' 15"" S","77° 09' 42"" W"
chincha,"13° 27' 37"" S","76° 14' 44"" W"
pisco,"13° 44' 55"" S","76° 15' 54"" W"
punta-grande,"14° 19' 60"" S","76° 09' 54"" W"
puerto-caballas,"14° 57' 33"" S","75° 31' 55"" W"
san-juan,"15° 21' 23"" S","75° 10' 46"" W"
puerto-de-lomas,"15° 35' 17"" S","74° 52' 31"" W"
atico,"16° 16' 00"" S","73° 37' 37"" W"
camana,"16° 40' 27"" S","72° 44' 46"" W"
matarani,"17° 01' 39"" S","72° 08' 26"" W"
ilo,"17° 38' 33"" S","71° 21' 25"" W"
boca-del-rio,"18° 09' 52"" S","70° 41' 26"" W"
nickerie,"05° 57' 50"" N","57° 00' 59"" W"
bigi-pan,"05° 59' 04"" N","56° 51' 25"" W"
hertenrits,"05° 58' 44"" N","56° 39' 58"" W"
totness,"05° 53' 35"" N","56° 19' 47"" W"
jenny,"05° 47' 06"" N","55° 54' 34"" W"
boskamp,"05° 47' 31"" N","55° 54' 04"" W"
coppename-nature,"05° 59' 24"" N","55° 42' 37"" W"
wanica,"05° 55' 38"" N","55° 16' 50"" W"
paramaribo,"05° 49' 00"" N","55° 08' 60"" W"
meerzorg,"05° 48' 55"" N","55° 07' 26"" W"
nieuw-amsterdam,"05° 53' 17"" N","55° 05' 41"" W"
matapica,"05° 59' 45"" N","55° 01' 04"" W"
wia-wia-nature,"05° 56' 19"" N","54° 29' 01"" W"
galibi,"05° 42' 34"" N","54° 00' 30"" W"
colonia-del-sacramento,"34° 28' 30"" S","57° 50' 36"" W"
montevideo,"34° 54' 43"" S","56° 13' 40"" W"
punta-del-este,"34° 57' 45"" S","54° 57' 14"" W"
la-paloma,"34° 39' 25"" S","54° 08' 32"" W"
paraguaipoa,"11° 21' 20"" N","71° 56' 19"" W"
golfo-de-venezuela,"11° 13' 06"" N","71° 25' 02"" W"
maracaibo,"10° 46' 07"" N","71° 37' 18"" W"
zazarida,"11° 16' 10"" N","70° 31' 31"" W"
amuay,"11° 45' 58"" N","70° 14' 49"" W"
villa-marina,"11° 49' 02"" N","70° 16' 25"" W"
la-macolla,"12° 05' 29"" N","70° 13' 15"" W"
puerto-escondido,"12° 10' 27"" N","69° 57' 46"" W"
piedras-negras,"12° 10' 05"" N","69° 55' 40"" W"
el-supi,"12° 00' 29"" N","69° 49' 48"" W"
adicora,"11° 56' 29"" N","69° 47' 59"" W"
la-vela-de-coro,"11° 27' 51"" N","69° 34' 22"" W"
puerto-cumarebo,"11° 29' 48"" N","69° 20' 48"" W"
sabanas-altas,"11° 29' 28"" N","69° 06' 38"" W"
san-jose-de-la-costa,"11° 26' 33"" N","68° 50' 28"" W"
aguide,"11° 21' 23"" N","68° 41' 12"" W"
maracara,"11° 18' 48"" N","68° 37' 42"" W"
san-juan-de-los-cayos,"11° 10' 56"" N","68° 25' 06"" W"
boca-de-mangle,"11° 08' 38"" N","68° 22' 52"" W"
boca-de-tocuyo,"11° 03' 22"" N","68° 19' 49"" W"
chichiriviche,"10° 55' 55"" N","68° 16' 01"" W"
tucacas,"10° 46' 45"" N","68° 18' 44"" W"
boca-de-aroa,"10° 41' 39"" N","68° 17' 20"" W"
moron,"10° 30' 25"" N","68° 10' 10"" W"
el-palito,"10° 29' 10"" N","68° 06' 50"" W"
puerto-cabello,"10° 29' 00"" N","68° 01' 19"" W"
independencia,"10° 29' 25"" N","67° 46' 11"" W"
bahia-de-cata,"10° 29' 49"" N","67° 44' 18"" W"
puerto-colombia,"10° 30' 33"" N","67° 36' 36"" W"
playa-chuao,"10° 31' 17"" N","67° 32' 44"" W"
puerto-maya,"10° 32' 05"" N","67° 24' 24"" W"
puerto-cruz,"10° 32' 36"" N","67° 20' 36"" W"
chichiriviche-de-la-costa,"10° 33' 07"" N","67° 14' 25"" W"
uricao,"10° 33' 25"" N","67° 11' 11"" W"
puerto-carayaca,"10° 34' 12"" N","67° 07' 60"" W"
la-salinas,"10° 34' 32"" N","67° 06' 55"" W"
taguao,"10° 34' 43"" N","67° 06' 18"" W"
catia-la-mar,"10° 35' 37"" N","67° 03' 37"" W"
maiquetia,"10° 36' 48"" N","66° 59' 45"" W"
caracas,"10° 36' 33"" N","66° 56' 14"" W"
la-guaira,"10° 36' 21"" N","66° 56' 07"" W"
macuto,"10° 36' 31"" N","66° 54' 03"" W"
caraballeda,"10° 37' 24"" N","66° 50' 58"" W"
naiguata,"10° 37' 37"" N","66° 44' 22"" W"
camuri-grande,"10° 37' 26"" N","66° 41' 29"" W"
anare,"10° 37' 31"" N","66° 39' 05"" W"
oritapo,"10° 37' 46"" N","66° 28' 44"" W"
todasana,"10° 37' 46"" N","66° 27' 37"" W"
la-sabana,"10° 37' 10"" N","66° 22' 38"" W"
chirimena,"10° 36' 43"" N","66° 10' 09"" W"
carenero,"10° 31' 50"" N","66° 06' 39"" W"
higuerote,"10° 28' 50"" N","66° 05' 43"" W"
rio-chico,"10° 22' 07"" N","65° 57' 31"" W"
tacarigua-de-la-laguna,"10° 18' 35"" N","65° 52' 44"" W"
machurucuto,"10° 12' 32"" N","65° 39' 05"" W"
boca-de-uchire,"10° 08' 19"" N","65° 25' 08"" W"
pueblo-el-hatillo,"10° 07' 08"" N","65° 19' 07"" W"
puerto-piritu,"10° 04' 11"" N","65° 02' 48"" W"
barcelona,"10° 09' 20"" N","64° 42' 50"" W"
puerto-la-cruz,"10° 12' 49"" N","64° 39' 59"" W"
guanta,"10° 14' 51"" N","64° 35' 37"" W"
conoma,"10° 14' 46"" N","64° 32' 17"" W"
porlamar,"10° 56' 60"" N","63° 51' 00"" W"
playa-colorada,"10° 15' 22"" N","64° 27' 36"" W"
santa-fe,"10° 17' 07"" N","64° 25' 33"" W"
mochima,"10° 20' 55"" N","64° 20' 41"" W"
cumana,"10° 27' 53"" N","64° 11' 49"" W"
punta-arenas,"10° 30' 09"" N","64° 14' 28"" W"
araya,"10° 34' 22"" N","64° 17' 16"" W"
taguapire,"10° 37' 57"" N","64° 00' 53"" W"
chacopata,"10° 40' 54"" N","63° 49' 17"" W"
saucedo,"10° 37' 44"" N","63° 31' 59"" W"
la-esmeralda,"10° 38' 35"" N","63° 29' 55"" W"
morro-de-lebranche,"10° 40' 07"" N","63° 24' 46"" W"
playa-patilla,"10° 41' 03"" N","63° 21' 53"" W"
playa-grande,"10° 39' 53"" N","63° 16' 50"" W"
carupano,"10° 40' 24"" N","63° 15' 22"" W"
el-morro-de-puerto-santo,"10° 43' 44"" N","63° 09' 31"" W"
rio-caribe,"10° 42' 16"" N","63° 07' 18"" W"
playa-medina,"10° 42' 48"" N","63° 00' 56"" W"
san-juan-de-las-galdonas,"10° 42' 33"" N","62° 51' 01"" W"
uquire,"10° 42' 55"" N","61° 57' 49"" W"
macuro,"10° 38' 55"" N","61° 55' 60"" W"
puerto-de-hiero,"10° 37' 49"" N","62° 14' 33"" W"
guiria,"10° 33' 53"" N","62° 15' 31"" W"
benitez,"10° 17' 18"" N","62° 38' 30"" W"
capure,"10° 00' 11"" N","62° 13' 54"" W"
delta-del-orinoco,"09° 20' 60"" N","60° 42' 15"" W"
san-jose-de-amacuro,"08° 33' 47"" N","60° 28' 24"" W"
velipoje,"41° 51' 41"" N","19° 24' 55"" E"
shengjin,"41° 48' 35"" N","19° 35' 15"" E"
cape-of-rodon,"41° 35' 17"" N","19° 26' 55"" E"
plazhi-san-pietro,"41° 31' 14"" N","19° 30' 40"" E"
rinia,"41° 24' 01"" N","19° 25' 58"" E"
durres,"41° 18' 32"" N","19° 27' 20"" E"
shkallnur,"41° 17' 16"" N","19° 30' 17"" E"
karpen,"41° 11' 06"" N","19° 28' 41"" E"
spille,"41° 05' 48"" N","19° 27' 23"" E"
divjake,"40° 58' 24"" N","19° 28' 19"" E"
darezeze-e-re,"40° 42' 59"" N","19° 21' 50"" E"
vlore,"40° 27' 43"" N","19° 26' 37"" E"
orikum,"40° 20' 19"" N","19° 27' 16"" E"
dhermi,"40° 07' 59"" N","19° 37' 39"" E"
gjipe-beach,"40° 07' 23"" N","19° 39' 57"" E"
jale,"40° 06' 34"" N","19° 41' 56"" E"
himare,"40° 05' 34"" N","19° 44' 24"" E"
borsh,"40° 02' 43"" N","19° 50' 25"" E"
piqeras,"40° 00' 44"" N","19° 52' 46"" E"
lukove,"39° 59' 19"" N","19° 54' 00"" E"
sarande,"39° 51' 25"" N","20° 00' 41"" E"
de-panne,"51° 06' 08"" N","02° 35' 02"" E"
saint-idesbald,"51° 06' 42"" N","02° 36' 34"" E"
koksijde,"51° 07' 16"" N","02° 37' 60"" E"
